hpo_id,hpo_name,ncbi_gene_id,gene_symbol
HP:0000218,High palate,2033,EP300
HP:0000218,High palate,2033,EP300
HP:0000218,High palate,22907,DHX30
HP:0000218,High palate,57724,EPG5
HP:0000218,High palate,57724,EPG5
HP:0000218,High palate,6664,SOX11
HP:0000218,High palate,26123,TCTN3
HP:0000218,High palate,26123,TCTN3
HP:0000218,High palate,10075,HUWE1
HP:0000218,High palate,5979,RET
HP:0000218,High palate,1305,COL13A1
HP:0000218,High palate,1305,COL13A1
HP:0000218,High palate,1305,COL13A1
HP:0000218,High palate,11133,KPTN
HP:0000218,High palate,11133,KPTN
HP:0000218,High palate,4747,NEFL
HP:0000218,High palate,4854,NOTCH3
HP:0000218,High palate,4854,NOTCH3
HP:0000218,High palate,84162,BLTP1
HP:0000218,High palate,473,RERE
HP:0000218,High palate,2782,GNB1
HP:0000218,High palate,2782,GNB1
HP:0000218,High palate,83479,DDX59
HP:0000218,High palate,3097,HIVEP2
HP:0000218,High palate,23097,CDK19
HP:0000218,High palate,4131,MAP1B
HP:0000218,High palate,2316,FLNA
HP:0000218,High palate,55906,ZC4H2
HP:0000218,High palate,2138,EYA1
HP:0000218,High palate,2138,EYA1
HP:0000218,High palate,2138,EYA1
HP:0000218,High palate,5075,PAX1
HP:0000218,High palate,3759,KCNJ2
HP:0000218,High palate,3759,KCNJ2
HP:0000218,High palate,1000,CDH2
HP:0000218,High palate,55764,IFT122
HP:0000218,High palate,25,ABL1
HP:0000218,High palate,545,ATR
HP:0000218,High palate,6638,SNRPN
HP:0000218,High palate,760,CA2
HP:0000218,High palate,23476,BRD4
HP:0000218,High palate,9126,SMC3
HP:0000218,High palate,9126,SMC3
HP:0000218,High palate,55869,HDAC8
HP:0000218,High palate,55869,HDAC8
HP:0000218,High palate,5885,RAD21
HP:0000218,High palate,9997,SCO2
HP:0000218,High palate,8270,LAGE3
HP:0000218,High palate,1213,CLTC
HP:0000218,High palate,117581,TWIST2
HP:0000218,High palate,4329,ALDH6A1
HP:0000218,High palate,23556,PIGN
HP:0000218,High palate,23556,PIGN
HP:0000218,High palate,23556,PIGN
HP:0000218,High palate,55617,TASP1
HP:0000218,High palate,6182,MRPL12
HP:0000218,High palate,1806,DPYD
HP:0000218,High palate,60482,SLC5A7
HP:0000218,High palate,4649,MYO9A
HP:0000218,High palate,1103,CHAT
HP:0000218,High palate,6576,SLC25A1
HP:0000218,High palate,6843,VAMP1
HP:0000218,High palate,375790,AGRN
HP:0000218,High palate,375790,AGRN
HP:0000218,High palate,375790,AGRN
HP:0000218,High palate,127833,SYT2
HP:0000218,High palate,6572,SLC18A3
HP:0000218,High palate,6616,SNAP25
HP:0000218,High palate,8292,COLQ
HP:0000218,High palate,3913,LAMB2
HP:0000218,High palate,4038,LRP4
HP:0000218,High palate,1140,CHRNB1
HP:0000218,High palate,1140,CHRNB1
HP:0000218,High palate,221264,AK9
HP:0000218,High palate,285489,DOK7
HP:0000218,High palate,139285,AMER1
HP:0000218,High palate,652,BMP4
HP:0000218,High palate,652,BMP4
HP:0000218,High palate,10020,GNE
HP:0000218,High palate,26503,SLC17A5
HP:0000218,High palate,650,BMP2
HP:0000218,High palate,84700,MYO18B
HP:0000218,High palate,4621,MYH3
HP:0000218,High palate,4621,MYH3
HP:0000218,High palate,4621,MYH3
HP:0000218,High palate,1146,CHRNG
HP:0000218,High palate,1146,CHRNG
HP:0000218,High palate,4750,NEK1
HP:0000218,High palate,4750,NEK1
HP:0000218,High palate,22930,RAB3GAP1
HP:0000218,High palate,22930,RAB3GAP1
