hpo_id,hpo_name,ncbi_gene_id,gene_symbol
HP:0000177,Abnormal upper lip morphology,7798,LUZP1
HP:0000177,Abnormal upper lip morphology,6497,SKI
HP:0000177,Abnormal upper lip morphology,10630,PDPN
HP:0000177,Abnormal upper lip morphology,3339,HSPG2
HP:0000177,Abnormal upper lip morphology,3339,HSPG2
HP:0000177,Abnormal upper lip morphology,10277,UBE4B
HP:0000177,Abnormal upper lip morphology,8514,KCNAB2
HP:0000177,Abnormal upper lip morphology,63976,PRDM16
HP:0000177,Abnormal upper lip morphology,54897,CASZ1
HP:0000177,Abnormal upper lip morphology,93986,FOXP2
HP:0000177,Abnormal upper lip morphology,8314,BAP1
HP:0000177,Abnormal upper lip morphology,200424,TET3
HP:0000177,Abnormal upper lip morphology,57466,SCAF4
HP:0000177,Abnormal upper lip morphology,51163,DBR1
HP:0000177,Abnormal upper lip morphology,2683,B4GALT1
HP:0000177,Abnormal upper lip morphology,5373,PMM2
HP:0000177,Abnormal upper lip morphology,388662,SLC6A17
HP:0000177,Abnormal upper lip morphology,388662,SLC6A17
HP:0000177,Abnormal upper lip morphology,84168,ANTXR1
HP:0000177,Abnormal upper lip morphology,84168,ANTXR1
HP:0000177,Abnormal upper lip morphology,26173,INTS1
HP:0000177,Abnormal upper lip morphology,6878,TAF6
HP:0000177,Abnormal upper lip morphology,4921,DDR2
HP:0000177,Abnormal upper lip morphology,83548,COG3
HP:0000177,Abnormal upper lip morphology,4703,NEB
HP:0000177,Abnormal upper lip morphology,4703,NEB
HP:0000177,Abnormal upper lip morphology,55869,HDAC8
HP:0000177,Abnormal upper lip morphology,55869,HDAC8
HP:0000177,Abnormal upper lip morphology,2972,BRF1
HP:0000177,Abnormal upper lip morphology,1349,COX7B
HP:0000177,Abnormal upper lip morphology,91754,NEK9
HP:0000177,Abnormal upper lip morphology,650,BMP2
HP:0000177,Abnormal upper lip morphology,650,BMP2
HP:0000177,Abnormal upper lip morphology,4952,OCRL
HP:0000177,Abnormal upper lip morphology,3417,IDH1
HP:0000177,Abnormal upper lip morphology,16,AARS1
HP:0000177,Abnormal upper lip morphology,4621,MYH3
HP:0000177,Abnormal upper lip morphology,4621,MYH3
HP:0000177,Abnormal upper lip morphology,4621,MYH3
HP:0000177,Abnormal upper lip morphology,153642,ARSK
HP:0000177,Abnormal upper lip morphology,4052,LTBP1
HP:0000177,Abnormal upper lip morphology,54496,PRMT7
HP:0000177,Abnormal upper lip morphology,54496,PRMT7
HP:0000177,Abnormal upper lip morphology,10082,GPC6
HP:0000177,Abnormal upper lip morphology,10082,GPC6
HP:0000177,Abnormal upper lip morphology,551,AVP
HP:0000177,Abnormal upper lip morphology,5831,PYCR1
HP:0000177,Abnormal upper lip morphology,23476,BRD4
HP:0000177,Abnormal upper lip morphology,23476,BRD4
HP:0000177,Abnormal upper lip morphology,7136,TNNI2
HP:0000177,Abnormal upper lip morphology,164,AP1G1
HP:0000177,Abnormal upper lip morphology,1822,ATN1
HP:0000177,Abnormal upper lip morphology,1302,COL11A2
HP:0000177,Abnormal upper lip morphology,9244,CRLF1
HP:0000177,Abnormal upper lip morphology,9244,CRLF1
HP:0000177,Abnormal upper lip morphology,990,CDC6
HP:0000177,Abnormal upper lip morphology,64864,RFX7
HP:0000177,Abnormal upper lip morphology,11212,PLPBP
HP:0000177,Abnormal upper lip morphology,8812,CCNK
HP:0000177,Abnormal upper lip morphology,9851,KIAA0753
HP:0000177,Abnormal upper lip morphology,2006,ELN
HP:0000177,Abnormal upper lip morphology,2006,ELN
HP:0000177,Abnormal upper lip morphology,2006,ELN
HP:0000177,Abnormal upper lip morphology,526,ATP6V1B2
HP:0000177,Abnormal upper lip morphology,57465,TBC1D24
HP:0000177,Abnormal upper lip morphology,57465,TBC1D24
HP:0000177,Abnormal upper lip morphology,2131,EXT1
HP:0000177,Abnormal upper lip morphology,3636,INPPL1
HP:0000177,Abnormal upper lip morphology,203068,TUBB
HP:0000177,Abnormal upper lip morphology,203068,TUBB
HP:0000177,Abnormal upper lip morphology,440138,ALG11
HP:0000177,Abnormal upper lip morphology,5528,PPP2R5D
HP:0000177,Abnormal upper lip morphology,4781,NFIB
HP:0000177,Abnormal upper lip morphology,10491,CRTAP
HP:0000177,Abnormal upper lip morphology,51594,NBAS
HP:0000177,Abnormal upper lip morphology,3295,HSD17B4
HP:0000177,Abnormal upper lip morphology,64131,XYLT1
HP:0000177,Abnormal upper lip morphology,64131,XYLT1
HP:0000177,Abnormal upper lip morphology,129285,PPP1R21
HP:0000177,Abnormal upper lip morphology,3735,KARS1
HP:0000177,Abnormal upper lip morphology,84842,HPDL
HP:0000177,Abnormal upper lip morphology,221927,BRAT1
HP:0000177,Abnormal upper lip morphology,27445,PCLO
HP:0000177,Abnormal upper lip morphology,25886,POC1A
HP:0000177,Abnormal upper lip morphology,9898,UBAP2L
HP:0000177,Abnormal upper lip morphology,6309,SC5D
HP:0000177,Abnormal upper lip morphology,6309,SC5D
HP:0000177,Abnormal upper lip morphology,84282,RNF135
HP:0000177,Abnormal upper lip morphology,58,ACTA1
HP:0000177,Abnormal upper lip morphology,10324,KLHL41
HP:0000177,Abnormal upper lip morphology,7170,TPM3
HP:0000177,Abnormal upper lip morphology,6662,SOX9
HP:0000177,Abnormal upper lip morphology,1717,DHCR7
HP:0000177,Abnormal upper lip morphology,1717,DHCR7
HP:0000177,Abnormal upper lip morphology,1185,CLCN6
HP:0000177,Abnormal upper lip morphology,1146,CHRNG
HP:0000177,Abnormal upper lip morphology,1146,CHRNG
HP:0000177,Abnormal upper lip morphology,4001,LMNB1
HP:0000177,Abnormal upper lip morphology,80204,FBXO11
HP:0000177,Abnormal upper lip morphology,4054,LTBP3
HP:0000177,Abnormal upper lip morphology,4054,LTBP3
HP:0000177,Abnormal upper lip morphology,55148,UBR7
HP:0000177,Abnormal upper lip morphology,1954,MEGF8
HP:0000177,Abnormal upper lip morphology,4338,MOCS2
HP:0000177,Abnormal upper lip morphology,649,BMP1
HP:0000177,Abnormal upper lip morphology,124512,METTL23
HP:0000177,Abnormal upper lip morphology,79053,ALG8
HP:0000177,Abnormal upper lip morphology,23265,EXOC7
HP:0000177,Abnormal upper lip morphology,4593,MUSK
HP:0000177,Abnormal upper lip morphology,51660,MPC1
HP:0000177,Abnormal upper lip morphology,6804,STX1A
HP:0000177,Abnormal upper lip morphology,7461,CLIP2
HP:0000177,Abnormal upper lip morphology,84277,DNAJC30
HP:0000177,Abnormal upper lip morphology,8468,FKBP6
HP:0000177,Abnormal upper lip morphology,5982,RFC2
HP:0000177,Abnormal upper lip morphology,2969,GTF2I
HP:0000177,Abnormal upper lip morphology,3984,LIMK1
HP:0000177,Abnormal upper lip morphology,9569,GTF2IRD1
HP:0000177,Abnormal upper lip morphology,155382,VPS37D
HP:0000177,Abnormal upper lip morphology,155368,METTL27
HP:0000177,Abnormal upper lip morphology,114049,BUD23
HP:0000177,Abnormal upper lip morphology,7458,EIF4H
